poll_interval_id,poll_date,next_poll_date,afd_support_t,party_clean,party_support_t,party_support_t_minus_1,party_support_change,party_support_change_abs,mean_populism_score,mean_populism_sum,mean_gal_tan_score,mean_P1_people,mean_P2_anti_elite,mean_P3_outgroup,mean_G1_environment,mean_G2_migration,mean_G3_society,mean_G4_civil_rights,mean_G5_cosmopolitanism,n_speeches_environment,n_speeches_migration,n_speeches_society,n_speeches_civil_rights,n_speeches_cosmopolitanism,n_speeches,n_speeches_with_gal_tan,mean_word_count,is_mainstream_party,is_afd,afd_proximity_ordinal,afd_proximity_label,share_environment_of_party_speeches,share_migration_of_party_speeches,share_society_of_party_speeches,share_civil_rights_of_party_speeches,share_cosmopolitanism_of_party_speeches,n_mainstream_speeches,n_mainstream_speeches_environment,n_mainstream_speeches_migration,n_mainstream_speeches_society,n_mainstream_speeches_civil_rights,n_mainstream_speeches_cosmopolitanism,share_environment_of_mainstream_speeches,share_migration_of_mainstream_speeches,share_society_of_mainstream_speeches,share_civil_rights_of_mainstream_speeches,share_cosmopolitanism_of_mainstream_speeches,share_party_of_mainstream_environment_speeches,share_party_of_mainstream_migration_speeches,share_party_of_mainstream_society_speeches,share_party_of_mainstream_civil_rights_speeches,share_party_of_mainstream_cosmopolitanism_speeches,government_label_interval,is_government,is_opposition,wahlperiode,wahlperiode_cat,poll_year,poll_month,interval_length_days,afd_mean_populism_score,afd_mean_populism_sum,afd_mean_gal_tan_score,afd_mean_P1_people,afd_mean_P2_anti_elite,afd_mean_P3_outgroup,afd_mean_G1_environment,afd_mean_G2_migration,afd_mean_G3_society,afd_mean_G4_civil_rights,afd_mean_G5_cosmopolitanism,afd_n_speeches,afd_n_speeches_with_gal_tan,afd_n_speeches_environment,afd_n_speeches_migration,afd_n_speeches_society,afd_n_speeches_civil_rights,afd_n_speeches_cosmopolitanism,afd_share_environment_of_party_speeches,afd_share_migration_of_party_speeches,afd_share_society_of_party_speeches,afd_share_civil_rights_of_party_speeches,afd_share_cosmopolitanism_of_party_speeches,populism_distance_to_afd,populism_sum_distance_to_afd,gal_tan_distance_to_afd,P1_people_distance_to_afd,P2_anti_elite_distance_to_afd,P3_outgroup_distance_to_afd,G1_environment_distance_to_afd,G2_migration_distance_to_afd,G3_society_distance_to_afd,G4_civil_rights_distance_to_afd,G5_cosmopolitanism_distance_to_afd,_time_order,afd_support_c
126,2022-12-09,2023-01-05,15,spd,18.000,18.000,0.000,0.000,0.222,0.667,1.267,0.120,0.373,0.173,1.524,1.818,1.000,1.520,0.794,21,11,5,25,34,75,55,623.880,True,False,2.000,SPD,0.280,0.147,0.067,0.333,0.453,267,77,35,20,78,110,0.079,0.041,0.019,0.094,0.127,0.273,0.314,0.250,0.321,0.309,Regierung,1.000,0.000,20.000,WP20,2022,12,27,0.970,2.909,7.089,0.970,1.545,0.394,7.600,8.000,7.200,6.533,7.455,33,29,15,9,5,15,22,0.455,0.273,0.152,0.455,0.667,0.747,2.242,5.822,0.850,1.172,0.221,6.076,6.182,6.200,5.013,6.660,2022-12-09,0.351
127,2023-01-05,2023-01-19,15,spd,18.000,18.000,0.000,0.000,0.282,0.846,2.167,0.231,0.385,0.231,2.000,2.750,2.000,2.000,1.800,3,4,1,3,5,13,8,618.462,True,False,2.000,SPD,0.231,0.308,0.077,0.231,0.385,44,18,14,9,11,19,0.068,0.091,0.023,0.068,0.114,0.167,0.286,0.111,0.273,0.263,Regierung,1.000,0.000,20.000,WP20,2023,1,14,1.133,3.400,8.400,1.200,1.600,0.600,9.000,9.000,8.333,7.500,8.500,5,5,2,2,3,2,4,0.400,0.400,0.600,0.400,0.800,0.851,2.554,6.233,0.969,1.215,0.369,7.000,6.250,6.333,5.500,6.700,2023-01-05,0.351
128,2023-01-19,2023-02-02,14,linke,4.000,5.000,-1.000,1.000,0.462,1.385,1.374,0.410,0.846,0.128,1.500,1.833,0.333,0.444,1.684,12,6,6,9,19,39,29,479.333,True,False,0.000,Die Linke,0.308,0.154,0.154,0.231,0.487,389,117,53,43,96,177,0.031,0.015,0.015,0.023,0.049,0.103,0.113,0.140,0.094,0.107,Opposition,0.000,1.000,20.000,WP20,2023,1,14,0.958,2.875,6.666,0.946,1.482,0.446,7.842,8.533,7.846,5.625,7.059,56,44,19,15,13,16,34,0.339,0.268,0.232,0.286,0.607,0.497,1.490,5.292,0.536,0.636,0.318,6.342,6.700,7.513,5.181,5.375,2023-01-19,-0.649
129,2023-02-02,2023-02-17,15,cdu/csu,27.000,29.000,-2.000,2.000,0.251,0.754,2.840,0.188,0.536,0.029,2.960,6.000,,2.600,2.640,25,7,0,10,25,69,49,630.913,True,False,4.000,CDU/CSU,0.362,0.101,0.000,0.145,0.362,242,94,30,10,40,90,0.103,0.029,0.000,0.041,0.103,0.266,0.233,0.000,0.250,0.278,Opposition,0.000,1.000,20.000,WP20,2023,2,15,0.853,2.559,7.062,0.765,1.353,0.441,8.077,9.125,8.000,6.100,7.381,34,28,13,8,3,10,21,0.382,0.235,0.088,0.294,0.618,0.602,1.805,4.222,0.576,0.817,0.412,5.117,3.125,,3.500,4.741,2023-02-02,0.351
130,2023-02-17,2023-03-02,15,linke,5.000,4.000,1.000,1.000,0.583,1.750,1.333,0.500,1.000,0.250,2.500,,,0.000,1.000,2,0,0,1,3,4,3,459.000,True,False,0.000,Die Linke,0.500,0.000,0.000,0.250,0.750,37,9,5,3,14,28,0.054,0.000,0.000,0.027,0.081,0.222,0.000,0.000,0.071,0.107,Opposition,0.000,1.000,20.000,WP20,2023,2,13,1.250,3.750,7.625,0.750,1.750,1.250,,8.000,,7.500,7.750,4,4,0,3,0,2,4,0.000,0.750,0.000,0.500,1.000,0.667,2.000,6.292,0.250,0.750,1.000,,,,7.500,6.750,2023-02-17,0.351
131,2023-03-02,2023-03-17,14,cdu/csu,31.000,29.000,2.000,2.000,0.357,1.071,3.705,0.232,0.723,0.116,4.929,6.500,2.667,3.655,3.426,28,16,6,29,54,112,73,605.750,True,False,4.000,CDU/CSU,0.250,0.143,0.054,0.259,0.482,378,113,66,43,86,155,0.074,0.042,0.016,0.077,0.143,0.248,0.242,0.140,0.337,0.348,Opposition,0.000,1.000,20.000,WP20,2023,3,15,1.000,3.000,7.201,1.059,1.510,0.431,8.000,8.692,8.455,6.941,7.581,51,40,16,13,11,17,31,0.314,0.255,0.216,0.333,0.608,0.643,1.929,3.495,0.827,0.787,0.315,3.071,2.192,5.788,3.286,4.155,2023-03-02,-0.649
132,2023-03-17,2023-04-06,15,cdu/csu,30.000,31.000,-1.000,1.000,0.372,1.116,3.294,0.302,0.721,0.093,4.364,5.000,0.833,3.263,2.773,22,16,6,19,44,86,68,599.151,True,False,4.000,CDU/CSU,0.256,0.186,0.070,0.221,0.512,293,83,54,29,85,151,0.075,0.055,0.020,0.065,0.150,0.265,0.296,0.207,0.224,0.291,Opposition,0.000,1.000,20.000,WP20,2023,3,20,0.958,2.875,7.302,0.975,1.400,0.500,8.583,9.000,7.714,7.000,7.586,40,37,12,9,7,19,29,0.300,0.225,0.175,0.475,0.725,0.586,1.759,4.008,0.673,0.679,0.407,4.220,4.000,6.881,3.737,4.813,2023-03-17,0.351
134,2023-04-14,2023-05-04,15,spd,19.000,18.000,1.000,1.000,0.164,0.492,1.232,0.144,0.311,0.038,1.400,1.800,0.083,0.906,1.143,60,20,12,32,42,132,109,600.652,True,False,2.000,SPD,0.455,0.152,0.091,0.242,0.318,481,209,69,31,115,166,0.125,0.042,0.025,0.067,0.087,0.287,0.290,0.387,0.278,0.253,Regierung,1.000,0.000,20.000,WP20,2023,4,20,1.051,3.152,7.278,1.061,1.576,0.515,8.367,9.053,7.727,6.115,7.372,66,59,30,19,11,26,43,0.455,0.288,0.167,0.394,0.652,0.886,2.659,6.046,0.917,1.265,0.477,6.967,7.253,7.644,5.209,6.229,2023-04-14,0.351
135,2023-05-04,2023-05-12,16,cdu/csu,30.000,29.000,1.000,1.000,0.398,1.193,4.293,0.298,0.737,0.158,4.800,6.909,7.000,4.294,4.154,20,11,1,17,26,57,45,574.509,True,False,4.000,CDU/CSU,0.351,0.193,0.018,0.298,0.456,186,70,33,11,64,79,0.108,0.059,0.005,0.091,0.140,0.286,0.333,0.091,0.266,0.329,Opposition,0.000,1.000,20.000,WP20,2023,5,8,1.000,3.000,7.727,1.074,1.481,0.444,8.833,8.714,8.500,7.583,8.267,27,23,12,7,6,12,15,0.444,0.259,0.222,0.444,0.556,0.602,1.807,3.434,0.776,0.745,0.287,4.033,1.805,1.500,3.289,4.113,2023-05-04,1.351
136,2023-05-12,2023-06-01,16,spd,18.000,17.000,1.000,1.000,0.182,0.547,1.052,0.189,0.305,0.053,1.143,1.643,0.714,0.722,0.881,28,14,7,18,42,95,71,625.442,True,False,2.000,SPD,0.295,0.147,0.074,0.189,0.442,319,95,46,21,68,143,0.088,0.044,0.022,0.056,0.132,0.295,0.304,0.333,0.265,0.294,Regierung,1.000,0.000,20.000,WP20,2023,5,20,0.968,2.905,7.310,0.952,1.500,0.452,8.188,8.500,8.667,6.647,7.567,42,40,16,14,9,17,30,0.381,0.333,0.214,0.405,0.714,0.786,2.357,6.258,0.763,1.195,0.400,7.045,6.857,7.952,5.925,6.686,2023-05-12,1.351
137,2023-06-01,2023-06-23,18,cdu/csu,29.000,28.000,1.000,1.000,0.355,1.066,3.848,0.272,0.669,0.125,5.036,6.222,3.167,4.438,3.396,28,18,6,32,53,136,87,588.029,True,False,4.000,CDU/CSU,0.206,0.132,0.044,0.235,0.390,461,114,70,42,139,188,0.061,0.039,0.013,0.069,0.115,0.246,0.257,0.143,0.230,0.282,Opposition,0.000,1.000,20.000,WP20,2023,6,22,1.038,3.113,7.774,1.081,1.613,0.419,8.071,8.235,8.333,7.636,7.889,62,52,28,17,9,22,45,0.452,0.274,0.145,0.355,0.726,0.682,2.047,3.927,0.809,0.944,0.294,3.036,2.013,5.167,3.199,4.493,2023-06-01,3.351
138,2023-06-23,2023-07-06,19,linke,4.000,4.000,0.000,0.000,0.519,1.556,1.718,0.444,1.111,0.000,1.667,1.333,1.000,0.667,2.167,6,3,1,3,6,18,13,454.222,True,False,0.000,Die Linke,0.333,0.167,0.056,0.167,0.333,147,48,31,7,23,74,0.041,0.020,0.007,0.020,0.041,0.125,0.097,0.143,0.130,0.081,Opposition,0.000,1.000,20.000,WP20,2023,6,13,1.148,3.444,8.130,1.167,1.667,0.611,8.750,9.000,8.400,7.833,8.000,18,16,8,6,5,6,15,0.444,0.333,0.278,0.333,0.833,0.630,1.889,6.412,0.722,0.556,0.611,7.083,7.667,7.400,7.167,5.833,2023-06-23,4.351
139,2023-07-06,2023-07-21,20,cdu/csu,28.000,29.000,-1.000,1.000,0.301,0.902,3.575,0.180,0.656,0.066,5.571,3.500,2.000,2.789,2.571,14,6,6,19,21,61,40,627.311,True,False,4.000,CDU/CSU,0.230,0.098,0.098,0.311,0.344,217,67,25,21,73,79,0.065,0.028,0.028,0.088,0.097,0.209,0.240,0.286,0.260,0.266,Opposition,0.000,1.000,20.000,WP20,2023,7,15,0.839,2.516,7.353,0.839,1.387,0.290,8.417,8.200,8.000,7.100,7.824,31,26,12,5,6,10,17,0.387,0.161,0.194,0.323,0.548,0.538,1.614,3.778,0.658,0.731,0.225,2.845,4.700,6.000,4.311,5.252,2023-07-06,5.351
143,2023-08-31,2023-09-15,22,linke,4.000,4.000,0.000,0.000,0.690,2.069,3.569,0.793,1.241,0.034,4.000,3.500,,2.000,2.667,11,2,0,1,9,29,17,503.345,True,False,0.000,Die Linke,0.379,0.069,0.000,0.034,0.310,300,129,34,27,45,114,0.037,0.007,0.000,0.003,0.030,0.085,0.059,0.000,0.022,0.079,Opposition,0.000,1.000,20.000,WP20,2023,8,15,1.225,3.674,8.143,1.239,1.804,0.630,8.759,8.526,8.615,7.174,8.000,46,45,29,19,13,23,35,0.630,0.413,0.283,0.500,0.761,0.535,1.605,4.574,0.446,0.563,0.596,4.759,5.026,,5.174,5.333,2023-08-31,7.351
144,2023-09-15,2023-09-28,22,cdu/csu,28.000,29.000,-1.000,1.000,0.395,1.185,4.526,0.324,0.759,0.102,5.250,6.500,2.250,4.842,4.447,28,20,4,19,38,108,65,557.083,True,False,4.000,CDU/CSU,0.259,0.185,0.037,0.176,0.352,369,95,59,25,69,111,0.076,0.054,0.011,0.051,0.103,0.295,0.339,0.160,0.275,0.342,Opposition,0.000,1.000,20.000,WP20,2023,9,13,0.876,2.627,7.768,0.863,1.333,0.431,9.267,8.714,8.833,6.308,8.034,51,37,15,14,12,13,29,0.294,0.275,0.235,0.255,0.569,0.481,1.442,3.242,0.539,0.574,0.330,4.017,2.214,6.583,1.466,3.587,2023-09-15,7.351
145,2023-09-28,2023-10-13,22,cdu/csu,28.000,28.000,0.000,0.000,0.356,1.067,4.214,0.218,0.630,0.218,4.000,6.800,2.000,5.409,4.400,36,25,7,22,45,119,82,579.151,True,False,4.000,CDU/CSU,0.303,0.210,0.059,0.185,0.378,405,131,76,29,89,164,0.089,0.062,0.017,0.054,0.111,0.275,0.329,0.241,0.247,0.274,Opposition,0.000,1.000,20.000,WP20,2023,9,15,1.071,3.214,7.620,1.018,1.536,0.661,8.409,9.150,7.077,7.043,7.850,56,51,22,20,13,23,40,0.393,0.357,0.232,0.411,0.714,0.716,2.147,3.406,0.799,0.905,0.442,4.409,2.350,5.077,1.634,3.450,2023-09-28,7.351
146,2023-10-13,2023-11-02,23,spd,15.000,16.000,-1.000,1.000,0.194,0.583,1.492,0.156,0.312,0.115,1.774,2.261,1.000,1.259,1.070,31,23,9,27,43,96,76,627.823,True,False,2.000,SPD,0.323,0.240,0.094,0.281,0.448,358,118,74,41,94,132,0.087,0.064,0.025,0.075,0.120,0.263,0.311,0.220,0.287,0.326,Regierung,1.000,0.000,20.000,WP20,2023,10,20,1.033,3.098,6.968,0.961,1.549,0.588,8.389,7.778,8.625,6.059,6.935,51,44,18,18,8,17,31,0.353,0.353,0.157,0.333,0.608,0.838,2.515,5.475,0.805,1.237,0.474,6.615,5.517,7.625,4.800,5.866,2023-10-13,8.351
147,2023-11-02,2023-11-10,22,cdu/csu,30.000,29.000,1.000,1.000,0.433,1.300,3.841,0.367,0.733,0.200,6.600,6.917,5.000,3.056,3.840,5,12,2,18,25,60,32,582.783,True,False,4.000,CDU/CSU,0.083,0.200,0.033,0.300,0.417,214,29,40,23,57,77,0.023,0.056,0.009,0.084,0.117,0.172,0.300,0.087,0.316,0.325,Opposition,0.000,1.000,20.000,WP20,2023,11,8,1.125,3.375,7.240,1.125,1.625,0.625,9.000,9.556,9.000,6.667,7.364,32,24,7,9,7,18,22,0.219,0.281,0.219,0.562,0.688,0.692,2.075,3.398,0.758,0.892,0.425,2.400,2.639,4.000,3.611,3.524,2023-11-02,7.351
148,2023-11-10,2023-12-07,21,spd,15.000,16.000,-1.000,1.000,0.203,0.608,1.697,0.165,0.358,0.085,1.558,2.667,0.857,1.792,1.458,52,27,21,48,72,176,130,631.403,True,False,2.000,SPD,0.295,0.153,0.119,0.273,0.409,628,203,100,72,195,266,0.083,0.043,0.033,0.076,0.115,0.256,0.270,0.292,0.246,0.271,Regierung,1.000,0.000,20.000,WP20,2023,11,27,1.040,3.119,7.683,1.095,1.512,0.512,8.667,8.731,8.056,6.815,7.821,84,74,33,26,18,27,56,0.393,0.310,0.214,0.321,0.667,0.837,2.511,5.986,0.930,1.154,0.427,7.109,6.064,7.198,5.023,6.363,2023-11-10,6.351
149,2023-12-07,2023-12-22,21,cdu/csu,32.000,30.000,2.000,2.000,0.395,1.186,3.362,0.314,0.643,0.229,3.900,7.000,0.143,3.000,3.846,10,14,7,19,26,70,38,625.629,True,False,4.000,CDU/CSU,0.143,0.200,0.100,0.271,0.371,219,37,41,24,72,90,0.046,0.064,0.032,0.087,0.119,0.270,0.341,0.292,0.264,0.289,Opposition,0.000,1.000,20.000,WP20,2023,12,15,1.118,3.353,7.804,1.118,1.559,0.676,8.818,9.000,8.625,7.300,8.000,34,29,11,14,8,10,24,0.324,0.412,0.235,0.294,0.706,0.722,2.167,4.442,0.803,0.916,0.448,4.918,2.000,8.482,4.300,4.154,2023-12-07,6.351
151,2024-01-04,2024-02-01,22,cdu/csu,31.000,32.000,-1.000,1.000,0.565,1.695,4.586,0.483,1.000,0.212,5.500,6.615,4.000,5.529,3.914,34,26,3,34,58,118,89,657.856,True,False,4.000,CDU/CSU,0.288,0.220,0.025,0.288,0.492,385,102,97,37,142,217,0.088,0.068,0.008,0.088,0.151,0.333,0.268,0.081,0.239,0.267,Opposition,0.000,1.000,20.000,WP20,2024,1,28,1.140,3.419,7.746,1.161,1.661,0.597,8.440,9.048,7.800,6.917,8.140,62,56,25,21,10,24,50,0.403,0.339,0.161,0.387,0.806,0.575,1.724,3.159,0.678,0.661,0.385,2.940,2.432,3.800,1.387,4.226,2024-01-04,7.351
152,2024-02-01,2024-03-07,19,spd,16.000,14.000,2.000,2.000,0.171,0.514,1.560,0.123,0.304,0.087,1.773,2.036,1.611,1.636,1.231,44,28,18,44,65,138,111,595.833,True,False,2.000,SPD,0.319,0.203,0.130,0.319,0.471,445,132,75,45,132,209,0.099,0.063,0.040,0.099,0.146,0.333,0.373,0.400,0.333,0.311,Regierung,1.000,0.000,20.000,WP20,2024,2,35,1.063,3.190,6.853,1.143,1.667,0.381,8.500,7.824,8.500,5.417,7.178,63,56,22,17,8,24,45,0.349,0.270,0.127,0.381,0.714,0.892,2.676,5.293,1.020,1.362,0.294,6.727,5.788,6.889,3.780,5.947,2024-02-01,4.351
153,2024-03-07,2024-04-04,19,cdu/csu,29.000,30.000,-1.000,1.000,0.387,1.161,4.188,0.310,0.690,0.161,5.848,6.458,1.333,4.273,3.375,33,24,12,44,64,155,111,546.761,True,False,4.000,CDU/CSU,0.213,0.155,0.077,0.284,0.413,494,102,81,48,160,229,0.067,0.049,0.024,0.089,0.130,0.324,0.296,0.250,0.275,0.279,Opposition,0.000,1.000,20.000,WP20,2024,3,28,1.000,3.000,7.066,1.000,1.522,0.478,8.833,8.706,7.182,6.471,7.304,67,58,18,17,11,34,46,0.269,0.254,0.164,0.507,0.687,0.613,1.839,2.879,0.690,0.832,0.316,2.985,2.248,5.848,2.198,3.929,2024-03-07,4.351
154,2024-04-04,2024-05-02,18,linke,3.000,3.000,0.000,0.000,0.476,1.429,1.480,0.514,0.829,0.086,1.000,1.000,1.857,2.333,1.750,12,4,7,6,12,35,25,354.714,True,False,0.000,Die Linke,0.343,0.114,0.200,0.171,0.343,531,169,64,78,174,231,0.023,0.008,0.013,0.011,0.023,0.071,0.062,0.090,0.034,0.052,Opposition,0.000,1.000,20.000,WP20,2024,4,28,0.974,2.922,7.631,0.922,1.494,0.506,8.667,8.688,8.105,7.133,7.588,77,68,27,16,19,30,51,0.351,0.208,0.247,0.390,0.662,0.498,1.494,6.151,0.408,0.665,0.421,7.667,7.688,6.248,4.800,5.838,2024-04-04,3.351
155,2024-05-02,2024-05-30,18,cdu/csu,31.000,30.000,1.000,1.000,0.370,1.111,3.232,0.311,0.589,0.211,5.231,5.800,3.333,3.135,2.316,13,15,9,37,38,90,60,562.400,True,False,4.000,CDU/CSU,0.144,0.167,0.100,0.411,0.422,286,52,51,35,116,127,0.045,0.052,0.031,0.129,0.133,0.250,0.294,0.257,0.319,0.299,Opposition,0.000,1.000,20.000,WP20,2024,5,28,1.071,3.214,7.060,1.071,1.500,0.643,8.600,8.312,7.222,6.350,7.857,42,36,10,16,9,20,28,0.238,0.381,0.214,0.476,0.667,0.701,2.103,3.828,0.760,0.911,0.432,3.369,2.513,3.889,3.215,5.541,2024-05-02,3.351
156,2024-05-30,2024-07-04,18,cdu/csu,31.000,31.000,0.000,0.000,0.474,1.422,4.619,0.366,0.750,0.306,5.778,7.036,5.053,4.708,4.176,45,55,19,65,102,232,156,586.780,True,False,4.000,CDU/CSU,0.194,0.237,0.082,0.280,0.440,753,191,179,65,218,342,0.060,0.073,0.025,0.086,0.135,0.236,0.307,0.292,0.298,0.298,Opposition,0.000,1.000,20.000,WP20,2024,5,35,1.105,3.316,7.711,1.061,1.490,0.765,8.667,8.771,8.630,7.341,8.153,98,86,27,48,27,41,72,0.276,0.490,0.276,0.418,0.735,0.631,1.894,3.092,0.695,0.740,0.459,2.889,1.734,3.577,2.634,3.976,2024-05-30,3.351
157,2024-07-04,2024-08-08,17,spd,14.000,15.000,-1.000,1.000,0.172,0.516,1.590,0.141,0.281,0.094,1.900,3.500,1.429,1.125,1.522,20,6,14,24,23,64,52,626.797,True,False,2.000,SPD,0.312,0.094,0.219,0.375,0.359,220,64,18,43,76,81,0.091,0.027,0.064,0.109,0.105,0.312,0.333,0.326,0.316,0.284,Regierung,1.000,0.000,20.000,WP20,2024,7,35,1.043,3.129,7.490,1.129,1.548,0.452,9.167,9.000,8.625,6.933,7.360,31,29,12,7,8,15,25,0.387,0.226,0.258,0.484,0.806,0.871,2.613,5.900,0.988,1.267,0.358,7.267,5.500,7.196,5.808,5.838,2024-07-04,2.351
159,2024-09-05,2024-10-10,17,cdu/csu,33.000,32.000,1.000,1.000,0.474,1.422,4.750,0.374,0.920,0.128,5.397,7.182,4.500,4.914,4.609,58,33,6,35,69,187,114,654.636,True,False,4.000,CDU/CSU,0.310,0.176,0.032,0.187,0.369,607,205,128,50,149,262,0.096,0.054,0.010,0.058,0.114,0.283,0.258,0.120,0.235,0.263,Opposition,0.000,1.000,20.000,WP20,2024,9,35,1.184,3.552,8.209,1.198,1.729,0.625,8.658,9.171,8.619,7.824,8.216,96,82,38,35,21,34,74,0.396,0.365,0.219,0.354,0.771,0.710,2.130,3.459,0.824,0.809,0.497,3.261,1.990,4.119,2.909,3.608,2024-09-05,2.351
160,2024-10-10,2024-10-31,17,spd,16.000,15.000,1.000,1.000,0.247,0.741,1.953,0.224,0.378,0.140,1.842,3.088,0.417,2.277,1.580,19,34,12,47,50,143,90,588.664,True,False,2.000,SPD,0.133,0.238,0.084,0.329,0.350,460,78,97,45,148,169,0.041,0.074,0.026,0.102,0.109,0.244,0.351,0.267,0.318,0.296,Regierung,1.000,0.000,20.000,WP20,2024,10,21,0.964,2.893,7.394,1.000,1.393,0.500,8.786,8.647,8.083,6.650,7.611,56,42,14,17,12,20,36,0.250,0.304,0.214,0.357,0.643,0.717,2.152,5.442,0.776,1.015,0.360,6.944,5.559,7.667,4.373,6.031,2024-10-10,2.351
161,2024-10-31,2024-11-07,17,cdu/csu,34.000,31.000,3.000,3.000,0.367,1.100,4.071,0.400,0.700,0.000,5.167,,,1.000,3.400,6,0,0,1,5,10,7,597.300,True,False,4.000,CDU/CSU,0.600,0.000,0.000,0.100,0.500,34,22,0,1,2,16,0.176,0.000,0.000,0.029,0.147,0.273,,0.000,0.500,0.312,Opposition,0.000,1.000,20.000,WP20,2024,10,7,1.067,3.200,8.417,1.200,1.600,0.400,8.667,7.000,8.667,9.000,8.000,5,5,3,1,3,2,4,0.600,0.200,0.600,0.400,0.800,0.700,2.100,4.345,0.800,0.900,0.400,3.500,,,8.000,4.600,2024-10-31,2.351
162,2024-11-07,2024-11-21,18,linke,,,,,0.615,1.846,1.875,0.769,1.000,0.077,2.000,,2.000,1.500,2.000,1,0,1,4,4,13,8,420.154,True,False,0.000,Die Linke,0.077,0.000,0.077,0.308,0.308,131,26,20,21,59,78,0.008,0.000,0.008,0.031,0.031,0.038,0.000,0.048,0.068,0.051,Opposition,0.000,1.000,20.000,WP20,2024,11,14,1.431,4.294,8.430,1.588,1.765,0.941,9.600,9.000,9.333,7.900,8.733,17,16,10,11,6,10,15,0.588,0.647,0.353,0.588,0.882,0.816,2.448,6.555,0.819,0.765,0.864,7.600,,7.333,6.400,6.733,2024-11-07,3.351
163,2024-11-21,2024-12-05,19,spd,14.000,16.000,-2.000,2.000,0.364,1.091,1.833,0.273,0.727,0.091,1.600,8.000,0.000,2.000,2.000,5,1,1,3,5,11,8,688.182,True,False,2.000,SPD,0.455,0.091,0.091,0.273,0.455,42,18,2,5,9,15,0.119,0.024,0.024,0.071,0.119,0.278,0.500,0.200,0.333,0.333,Regierung,1.000,0.000,20.000,WP20,2024,11,14,1.111,3.333,8.562,1.333,1.833,0.167,9.000,8.000,,7.500,8.000,6,4,3,1,0,2,3,0.500,0.167,0.000,0.333,0.500,0.747,2.242,6.729,1.061,1.106,0.076,7.400,0.000,,5.500,6.000,2024-11-21,4.351
164,2024-12-05,2024-12-19,18,linke,3.000,3.000,0.000,0.000,0.533,1.600,1.623,0.720,0.800,0.080,1.800,1.500,0.800,1.333,2.500,5,2,5,12,6,25,19,417.880,True,False,0.000,Die Linke,0.200,0.080,0.200,0.480,0.240,259,54,32,43,109,103,0.019,0.008,0.019,0.046,0.023,0.093,0.062,0.116,0.110,0.058,Opposition,0.000,1.000,20.000,WP20,2024,12,14,1.117,3.350,7.560,1.350,1.625,0.375,8.833,8.733,8.091,6.778,8.200,40,36,12,15,11,18,25,0.300,0.375,0.275,0.450,0.625,0.583,1.750,5.937,0.630,0.825,0.295,7.033,7.233,7.291,5.444,5.700,2024-12-05,3.351
165,2024-12-19,2025-01-09,19,cdu/csu,33.000,32.000,1.000,1.000,0.648,1.943,5.165,0.623,1.038,0.283,5.562,8.273,7.333,4.947,5.654,16,11,3,19,26,53,39,652.925,True,False,4.000,CDU/CSU,0.302,0.208,0.057,0.358,0.491,180,58,35,10,56,81,0.089,0.061,0.017,0.106,0.144,0.276,0.314,0.300,0.339,0.321,Opposition,0.000,1.000,20.000,WP20,2024,12,21,1.060,3.179,7.197,1.214,1.571,0.393,8.000,8.571,7.500,7.000,7.353,28,19,6,7,2,9,17,0.214,0.250,0.071,0.321,0.607,0.412,1.235,2.033,0.592,0.534,0.110,2.438,0.299,0.167,2.053,1.699,2024-12-19,4.351
166,2025-01-09,2025-01-30,20,cdu/csu,31.000,33.000,-2.000,2.000,1.048,3.143,7.097,1.143,1.429,0.571,7.500,8.250,8.000,6.333,6.667,2,4,1,3,6,7,6,816.000,True,False,4.000,CDU/CSU,0.286,0.571,0.143,0.429,0.857,26,4,17,4,15,20,0.077,0.154,0.038,0.115,0.231,0.500,0.235,0.250,0.200,0.300,Opposition,0.000,1.000,20.000,WP20,2025,1,21,1.667,5.000,8.722,2.000,2.000,1.000,9.000,10.000,8.000,7.500,9.000,3,3,1,2,1,2,3,0.333,0.667,0.333,0.667,1.000,0.619,1.857,1.625,0.857,0.571,0.429,1.500,1.750,0.000,1.167,2.333,2025-01-09,5.351
167,2025-01-30,2025-02-06,20,linke,5.000,4.000,1.000,1.000,0.854,2.562,1.482,0.875,1.125,0.562,2.667,3.286,0.667,0.900,1.000,3,7,6,10,10,16,14,441.688,True,False,0.000,Die Linke,0.188,0.438,0.375,0.625,0.625,213,34,58,45,110,110,0.014,0.033,0.028,0.047,0.047,0.088,0.121,0.133,0.091,0.091,Opposition,0.000,1.000,20.000,WP20,2025,1,7,1.262,3.786,8.566,1.286,1.643,0.857,9.375,8.818,8.700,8.357,8.600,28,24,8,11,10,14,20,0.286,0.393,0.357,0.500,0.714,0.408,1.223,7.084,0.411,0.518,0.295,6.708,5.532,8.033,7.457,7.600,2025-01-30,5.351
