poll_interval_id,poll_date,next_poll_date,afd_support_t,mean_populism_score,mean_populism_sum,mean_gal_tan_score,mean_P1_people,mean_P2_anti_elite,mean_P3_outgroup,mean_G1_environment,mean_G2_migration,mean_G3_society,mean_G4_civil_rights,mean_G5_cosmopolitanism,n_speeches_environment,n_speeches_migration,n_speeches_society,n_speeches_civil_rights,n_speeches_cosmopolitanism,n_speeches,n_speeches_with_gal_tan,mean_word_count,share_environment_of_mainstream_speeches,share_migration_of_mainstream_speeches,share_society_of_mainstream_speeches,share_civil_rights_of_mainstream_speeches,share_cosmopolitanism_of_mainstream_speeches,unit,wahlperiode,poll_year,poll_month,interval_length_days,wahlperiode_cat
20,2018-07-05,2018-07-27,16,0.2742616033755274,0.8227848101265823,2.3641509433962264,0.26582278481012656,0.45569620253164556,0.10126582278481013,2.1666666666666665,4.136363636363637,0.7,2.72,1.7333333333333334,18,22,10,25,30,79,53,771.7974683544304,0.22784810126582278,0.27848101265822783,0.12658227848101267,0.31645569620253167,0.379746835443038,mainstream_all,19,2018,7,22,WP19
21,2018-07-27,2018-08-02,16,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,mainstream_all,,2018,7,6,
22,2018-08-02,2018-08-24,17,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,mainstream_all,,2018,8,22,
23,2018-08-24,2018-09-06,17,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,mainstream_all,,2018,8,13,
24,2018-09-06,2018-09-21,16,0.2945736434108527,0.8837209302325582,2.0701431492842537,0.27906976744186046,0.4930232558139535,0.11162790697674418,1.9692307692307693,3.8780487804878048,1.5625,2.1578947368421053,1.8952380952380952,65,41,16,57,105,215,163,803.893023255814,0.3023255813953488,0.19069767441860466,0.07441860465116279,0.2651162790697674,0.4883720930232558,mainstream_all,19,2018,9,15,WP19
25,2018-09-21,2018-10-11,18,0.24793388429752067,0.743801652892562,2.272970085470085,0.19834710743801653,0.4669421487603306,0.07851239669421488,2.5901639344262297,3.323529411764706,1.7692307692307692,2.0166666666666666,1.9382716049382716,61,34,13,60,81,242,156,665.8842975206611,0.25206611570247933,0.14049586776859505,0.05371900826446281,0.24793388429752067,0.3347107438016529,mainstream_all,19,2018,9,20,WP19
26,2018-10-11,2018-10-19,16,0.23047619047619045,0.6914285714285714,1.8399543378995433,0.2057142857142857,0.40285714285714286,0.08285714285714285,2.056603773584906,3.246153846153846,1.0,1.3627450980392157,1.6328125,53,65,45,102,128,350,219,660.4914285714286,0.15142857142857144,0.18571428571428572,0.12857142857142856,0.2914285714285714,0.3657142857142857,mainstream_all,19,2018,10,8,WP19
27,2018-10-19,2018-11-15,16,0.240625,0.721875,2.0787037037037037,0.190625,0.459375,0.071875,1.8571428571428572,3.7758620689655173,0.84,2.0675675675675675,1.6423357664233578,42,58,25,74,137,320,198,648.959375,0.13125,0.18125,0.078125,0.23125,0.428125,mainstream_all,19,2018,10,27,WP19
28,2018-11-15,2018-11-30,14,0.2063125481139338,0.6189376443418014,1.7764467592592592,0.16397228637413394,0.42032332563510394,0.03464203233256351,1.7980769230769231,2.890625,0.803921568627451,1.6222222222222222,1.4966887417218544,104,64,51,135,151,433,288,701.6974595842956,0.24018475750577367,0.14780600461893764,0.11778290993071594,0.3117782909930716,0.34872979214780603,mainstream_all,19,2018,11,15,WP19
29,2018-11-30,2018-12-06,15,0.2333333333333333,0.7,1.8333333333333333,0.1625,0.4875,0.05,2.3181818181818183,1.6666666666666667,0.0,1.0,1.2647058823529411,22,21,5,16,34,80,55,652.275,0.275,0.2625,0.0625,0.2,0.425,mainstream_all,19,2018,11,6,WP19
